,fh,e.sa,e.n,e.d,e.a,e.su,e.f,e.h,gen,age.1,hp.y,hp.p,ho.r,s.value,le.ngeo,le.nogec,le.occlusion,le.nogeo,le.ngec,le.dg,re.ngeo,re.nogec,re.occlusion,re.nogeo,re.ngec,re.dg,et,y
0,0.27274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,0,58,-3.70000,16.10000,6.90000,100.00000,1.00000,1.40000,0.10000,97.50000,0.00000,0.00000,0.10000,0.20000,0.00000,99.70000,0.00000,0.00000,B,C
1,0.01624,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,52,-13.40000,8.70000,13.20000,100.00000,0.00000,0.00000,1.90000,83.10000,0.00000,15.00000,16.70000,0.00000,0.00000,83.30000,0.00000,0.00000,W,C
2,0.00009,63.00000,0.20000,0.50000,0.10000,0.10000,0.10000,36.00000,1,39,7.80000,-7.40000,2.00000,99.90000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.30000,0.10000,0.00000,99.40000,0.00000,0.20000,W,C
3,0.01387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,39,13.50000,11.00000,2.40000,100.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
4,0.00327,0.10000,87.60000,0.10000,0.10000,4.50000,0.10000,7.50000,1,26,-9.00000,10.70000,-4.60000,63.20000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.10000,99.90000,0.00000,0.00000,W,C
5,0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,1.30000,98.70000,1,40,-0.20000,9.20000,1.20000,100.00000,0.70000,0.00000,0.00000,99.30000,0.00000,0.00000,0.20000,0.00000,0.00000,99.80000,0.00000,0.00000,B,L
6,0.00820,0.60000,0.00000,0.00000,0.00000,0.00000,0.00000,99.40000,1,65,2.70000,8.90000,2.10000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
7,0.00367,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,44,5.30000,-8.70000,1.00000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
8,0.02184,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,25,0.80000,11.30000,3.10000,100.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,3.00000,0.00000,0.10000,96.90000,0.00000,0.00000,W,L
9,0.14460,0.00000,0.10000,2.80000,0.00000,0.00000,0.60000,96.60000,0,53,-4.70000,-4.60000,34.90000,17.70000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
10,0.00132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,45,25.20000,3.70000,6.20000,99.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.20000,1.80000,0.10000,97.90000,0.00000,0.00000,W,L
11,0.01559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,21,-57.10000,13.90000,13.20000,99.80000,3.30000,0.00000,0.00000,96.70000,0.00000,0.00000,0.10000,0.00000,0.00000,99.70000,0.00000,0.20000,W,C
12,0.00161,0.00000,87.50000,5.80000,0.00000,0.70000,0.00000,5.90000,0,28,-10.10000,-0.70000,5.80000,5.30000,0.40000,0.40000,0.30000,98.80000,0.10000,0.00000,0.60000,0.00000,0.10000,99.30000,0.00000,0.00000,W,C
13,0.04959,0.10000,99.80000,0.00000,0.10000,0.00000,0.00000,0.00000,0,37,28.20000,-0.60000,-22.60000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
14,0.15315,0.10000,97.90000,1.00000,0.10000,0.00000,0.00000,0.90000,0,30,24.80000,0.30000,-7.90000,76.20000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.20000,0.00000,89.10000,0.00000,10.70000,W,C
15,0.00223,0.00000,0.00000,0.00000,0.00000,0.10000,0.10000,99.80000,1,33,13.70000,-4.40000,4.50000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,L
16,0.00182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,46,-13.80000,6.00000,-9.20000,100.00000,0.80000,0.00000,0.00000,99.20000,0.00000,0.00000,0.40000,0.00000,0.00000,99.60000,0.00000,0.00000,B,L
17,0.01011,0.00000,3.40000,0.00000,0.00000,0.10000,0.00000,96.50000,0,45,-40.10000,-8.10000,12.30000,68.60000,1.40000,0.10000,0.00000,98.10000,0.00000,0.40000,0.10000,0.00000,0.00000,99.80000,0.00000,0.00000,W,C
18,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,67,0.90000,8.00000,3.90000,100.00000,0.20000,0.00000,0.00000,99.70000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
19,0.00914,0.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0,39,-6.80000,11.30000,-7.30000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,1.30000,98.60000,0.00000,0.00000,B,C
20,0.02814,0.00000,0.50000,74.40000,0.10000,0.00000,1.10000,23.80000,0,75,-8.90000,2.00000,22.40000,84.10000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,W,C
21,0.01207,30.90000,0.10000,1.40000,0.20000,0.10000,0.10000,67.40000,0,58,-16.00000,-4.10000,-0.10000,68.20000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,I,C
22,0.95045,0.20000,12.10000,27.20000,10.20000,0.20000,23.50000,26.70000,0,36,7.80000,-9.70000,-1.80000,99.70000,0.00000,26.30000,73.20000,0.00000,0.40000,0.00000,0.10000,3.20000,3.10000,0.00000,93.50000,0.10000,B,L
23,0.01328,0.00000,3.00000,1.40000,0.00000,95.50000,0.00000,0.00000,1,32,13.70000,4.80000,-26.60000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,W,L
